algoritmo,n,tempo_cifra_ms,tempo_decifra_ms
AES,100,0.375000,0.552000
AES,100,0.240000,0.380000
AES,100,0.202000,0.406000
AES,100,0.162000,0.274000
AES,100,0.166000,0.389000
AES,100,0.142000,0.209000
AES,100,0.141000,0.200000
AES,100,0.137000,0.253000
AES,100,0.147000,0.295000
AES,100,0.142000,0.283000
AES,100,0.135000,0.260000
AES,100,0.133000,0.258000
AES,100,0.158000,0.250000
AES,100,0.145000,0.272000
AES,100,0.180000,0.259000
AES,200,0.252000,0.474000
AES,200,0.270000,0.503000
AES,200,0.256000,0.488000
AES,200,0.249000,0.506000
AES,200,0.238000,0.472000
AES,200,0.304000,0.474000
AES,200,0.261000,0.486000
AES,200,0.189000,0.371000
AES,200,0.190000,0.442000
AES,200,0.234000,0.371000
AES,200,0.197000,0.389000
AES,200,0.190000,0.429000
AES,200,0.269000,0.460000
AES,200,0.258000,0.489000
AES,200,0.265000,0.510000
AES,400,0.374000,0.710000
AES,400,0.423000,0.866000
AES,400,0.357000,0.729000
AES,400,0.359000,0.705000
AES,400,0.433000,0.865000
AES,400,0.407000,0.729000
AES,400,0.397000,0.686000
AES,400,0.377000,0.703000
AES,400,0.362000,0.700000
AES,400,0.360000,0.717000
AES,400,0.372000,0.695000
AES,400,0.514000,0.824000
AES,400,0.371000,0.721000
AES,400,0.388000,0.742000
AES,400,0.361000,0.699000
AES,800,0.715000,1.410000
AES,800,0.719000,1.472000
AES,800,0.734000,1.445000
AES,800,0.715000,1.514000
AES,800,0.830000,1.500000
AES,800,0.711000,1.392000
AES,800,0.719000,1.385000
AES,800,0.736000,1.396000
AES,800,0.785000,1.488000
AES,800,0.998000,1.836000
AES,800,0.982000,1.761000
AES,800,0.898000,1.613000
AES,800,0.839000,1.603000
AES,800,0.788000,1.521000
AES,800,0.775000,1.511000
AES,1600,1.396000,2.779000
AES,1600,1.674000,3.336000
AES,1600,1.577000,2.875000
AES,1600,1.630000,2.926000
AES,1600,1.523000,2.851000
AES,1600,1.589000,2.850000
AES,1600,1.458000,2.732000
AES,1600,1.430000,2.701000
AES,1600,1.544000,2.731000
AES,1600,1.446000,2.751000
AES,1600,1.402000,2.790000
AES,1600,1.399000,2.731000
AES,1600,1.422000,2.816000
AES,1600,1.395000,2.756000
AES,1600,1.414000,2.720000
AES,3200,2.851000,5.566000
AES,3200,2.963000,5.581000
AES,3200,3.116000,5.592000
AES,3200,2.806000,5.685000
AES,3200,2.823000,5.510000
AES,3200,2.946000,5.540000
AES,3200,2.810000,5.496000
AES,3200,2.838000,5.520000
AES,3200,2.837000,5.504000
AES,3200,2.836000,5.453000
AES,3200,2.837000,5.426000
AES,3200,2.817000,5.542000
AES,3200,2.822000,5.494000
AES,3200,3.239000,6.379000
AES,3200,3.054000,5.876000
AES,6400,6.058000,11.689000
AES,6400,5.604000,11.394000
AES,6400,5.627000,11.171000
AES,6400,5.816000,10.945000
AES,6400,5.705000,10.843000
AES,6400,5.616000,10.893000
AES,6400,5.628000,10.855000
AES,6400,5.589000,10.851000
AES,6400,5.673000,11.024000
AES,6400,5.815000,10.850000
AES,6400,5.659000,11.166000
AES,6400,6.102000,10.968000
AES,6400,5.782000,10.831000
AES,6400,5.627000,10.869000
AES,6400,6.190000,10.898000
AES,12800,11.502000,25.933000
AES,12800,11.489000,21.678000
AES,12800,11.227000,21.601000
AES,12800,11.242000,21.512000
AES,12800,11.160000,21.516000
AES,12800,11.240000,21.586000
AES,12800,11.193000,21.574000
AES,12800,11.161000,21.723000
AES,12800,11.193000,21.563000
AES,12800,13.716000,23.036000
AES,12800,12.440000,21.636000
AES,12800,11.258000,21.713000
AES,12800,11.313000,21.981000
AES,12800,11.197000,21.568000
AES,12800,11.170000,21.475000
