algoritmo,n,tempo_cifra_ms,tempo_decifra_ms
RSA,100,0.020000,1.323000
RSA,100,0.011000,0.727000
RSA,100,0.012000,0.729000
RSA,100,0.011000,0.718000
RSA,100,0.011000,0.718000
RSA,100,0.010000,0.729000
RSA,100,0.011000,0.719000
RSA,100,0.011000,0.704000
RSA,100,0.011000,0.706000
RSA,100,0.010000,0.797000
RSA,100,0.012000,0.834000
RSA,100,0.012000,0.709000
RSA,100,0.011000,0.709000
RSA,100,0.011000,0.723000
RSA,100,0.011000,0.705000
RSA,200,0.019000,1.464000
RSA,200,0.020000,1.593000
RSA,200,0.026000,1.929000
RSA,200,0.027000,2.010000
RSA,200,0.027000,2.032000
RSA,200,0.027000,1.980000
RSA,200,0.028000,1.959000
RSA,200,0.028000,1.903000
RSA,200,0.025000,1.950000
RSA,200,0.027000,1.995000
RSA,200,0.028000,2.025000
RSA,200,0.031000,2.077000
RSA,200,0.030000,2.424000
RSA,200,0.031000,2.349000
RSA,200,0.019000,1.415000
RSA,400,0.035000,2.907000
RSA,400,0.045000,3.200000
RSA,400,0.044000,2.974000
RSA,400,0.035000,2.832000
RSA,400,0.042000,2.902000
RSA,400,0.035000,2.820000
RSA,400,0.035000,2.826000
RSA,400,0.035000,2.860000
RSA,400,0.035000,2.836000
RSA,400,0.036000,2.825000
RSA,400,0.035000,2.827000
RSA,400,0.035000,2.817000
RSA,400,0.035000,2.827000
RSA,400,0.035000,2.818000
RSA,400,0.035000,2.830000
RSA,800,0.061000,5.110000
RSA,800,0.061000,4.994000
RSA,800,0.061000,5.102000
RSA,800,0.060000,4.979000
RSA,800,0.061000,4.929000
RSA,800,0.061000,4.945000
RSA,800,0.061000,4.938000
RSA,800,0.061000,4.928000
RSA,800,0.061000,4.959000
RSA,800,0.060000,4.934000
RSA,800,0.060000,4.932000
RSA,800,0.060000,4.923000
RSA,800,0.061000,4.942000
RSA,800,0.060000,4.947000
RSA,800,0.089000,5.127000
RSA,1600,0.152000,13.113000
RSA,1600,0.128000,12.833000
RSA,1600,0.147000,13.111000
RSA,1600,0.165000,13.134000
RSA,1600,0.165000,13.191000
RSA,1600,0.159000,13.106000
RSA,1600,0.173000,13.530000
RSA,1600,0.169000,13.732000
RSA,1600,0.169000,11.065000
RSA,1600,0.111000,9.133000
RSA,1600,0.113000,9.742000
RSA,1600,0.114000,9.456000
RSA,1600,0.111000,9.181000
RSA,1600,0.111000,9.193000
RSA,1600,0.116000,9.121000
RSA,3200,0.222000,20.373000
RSA,3200,0.220000,19.038000
RSA,3200,0.239000,18.329000
RSA,3200,0.221000,18.543000
RSA,3200,0.225000,18.583000
RSA,3200,0.244000,18.734000
RSA,3200,0.220000,18.290000
RSA,3200,0.220000,18.251000
RSA,3200,0.225000,18.289000
RSA,3200,0.227000,18.844000
RSA,3200,0.221000,18.388000
RSA,3200,0.220000,18.652000
RSA,3200,0.225000,18.325000
RSA,3200,0.220000,18.242000
RSA,3200,0.220000,18.240000
RSA,6400,0.434000,37.998000
RSA,6400,0.433000,36.094000
RSA,6400,0.438000,36.164000
RSA,6400,0.436000,35.733000
RSA,6400,0.461000,36.122000
RSA,6400,0.433000,35.731000
RSA,6400,0.429000,35.795000
RSA,6400,0.437000,35.699000
RSA,6400,0.435000,35.900000
RSA,6400,0.431000,36.186000
RSA,6400,0.445000,36.102000
RSA,6400,0.440000,36.184000
RSA,6400,0.439000,38.229000
RSA,6400,0.440000,37.895000
RSA,6400,0.439000,38.230000
RSA,12800,0.886000,76.924000
RSA,12800,0.882000,82.462000
RSA,12800,0.922000,80.903000
RSA,12800,0.885000,80.082000
RSA,12800,0.883000,77.676000
RSA,12800,0.886000,81.351000
RSA,12800,0.878000,80.088000
RSA,12800,0.892000,80.989000
RSA,12800,0.881000,79.001000
RSA,12800,0.889000,77.316000
RSA,12800,0.882000,77.567000
RSA,12800,0.978000,73.939000
RSA,12800,0.870000,74.986000
RSA,12800,1.145000,76.219000
RSA,12800,1.034000,77.125000
